Architecture,Learning rate,Batch size,Optimizer,Dropout,Validation Acc,±std,Runtime (min),Test Accuracy
cnn_baseline_cifar10,0.01,128,sgd,N/A,0.7784,0.08025566637978104,12.05,0.7871
cnn_baseline_mnist,0.01,128,sgd,N/A,0.991,0.005165966113163434,5.7,0.9921
cnn_deep_cifar10,0.01,64,adam,0.25,0.8202,0.07870546167179059,31.68,0.8153
cnn_deep_mnist,0.01,128,sgd,0.25,0.9936,0.004134736261969299,13.38,0.9956
cnn_enhanced_cifar10,0.01,128,adam,0.25,0.7662,0.06155754431049425,29.86,0.7527
cnn_enhanced_mnist,0.01,64,sgd,0.25,0.9924,0.0027811603587668964,10.54,0.9941
deep_cifar10,0.0001,64,adam,0.2,0.5572,0.044688308900437845,19.52,0.5792
deep_mnist,0.0001,128,adam,0.5,0.9818,0.06125385976384166,18.66,0.9784
medium_cifar10,0.01,64,sgd,0.2,0.551,0.03505473375985559,22.3,0.5628
medium_mnist,0.01,64,sgd,0.2,0.9802,0.013435972591410132,23.24,0.9843
shallow_cifar10,0.001,128,adam,0.5,0.539,0.029086472064223556,21.87,0.5178
shallow_mnist,0.01,128,sgd,0.2,0.9754,0.01479416712601223,22.47,0.9792
